333508,348989
619985,619982
26048,906776
761854,344178
864007,557262
253624,253626
224142,284450
897893,897891
360243,360249
603212,478892
534543,534610
210475,262637
557403,557406
131414,124665
156838,158304
12959,12975
3939,4254
627348,648709
326062,340671
75010,75025
572755,90901
66308,66364
820939,820967
2531,864957
249611,249603
478443,931722
889203,737984
524934,524932
12523,628561
3200,3201
704928,703887
206454,206451
886056,881403
681710,681675
356706,356698
750663,750732
83880,83890
530151,530260
604902,604941
480884,481609
766361,766359
282297,282296
478862,62631
298157,297664
360937,360808
153814,153814
297393,297392
447101,447105
173652,173659
91413,91427
560757,560710
669658,669618
405486,405362
352203,352207
453398,453402
101860,508785
794590,471033
36144,539579
867359,13628
665061,665052
285561,262278
61962,692386
56922,72879
678050,678054
241266,241274
789910,789915
599289,599446
479063,676953
214017,214035
716632,716635
560370,560376
612099,612096
901539,879517
622120,26666
39806,39813
235668,235668
673929,673928
422377,422373
431939,429539
624551,568423
425131,435238
605599,605603
762781,762830
920791,2830
556035,614145
783653,659930
631486,631562
692109,692115
6267,6272
291331,291319
704861,562037
696585,39239
902649,536593
365629,359806
851221,92892
526663,620042
637205,637102
878042,25778
614843,648713
290557,290549
